"player_name","team","position","points","start_percent"
"Rhamondre Stevenson","NE","RB",5.1,0.16
"Cooper Kupp","Sea","WR",6.6,0.159
"Buccaneers D/ST","TB","D/ST",5,0.155
"Wil Lutz","Den","K",4,0.154
"Dallas Goedert","Phi","TE",19.7,0.152
"C.J. Stroud","Hou","QB",18.42,0.146
"Brandon McManus","GB","K",12,0.14
"Evan Engram","Den","TE",6.9,0.134
"Matthew Stafford","LAR","QB",27.4,0.134
"Travis Hunter","Jax","WR",7.2,0.127
"Jordan Addison","Min","WR",15.4,0.12
"Falcons D/ST","Atl","D/ST",6,0.114
"Evan McPherson","Cin","K",3,0.1
"Kenneth Gainwell","Pit","RB",31.4,0.1
"Khalil Shakir","Buf","WR",17.9,0.097
"Romeo Doubs","GB","WR",29.8,0.095
"Jason Myers","Sea","K",13,0.093
"Harold Fannin Jr.","Cle","TE",4.5,0.091
"Jacory Croskey-Merritt","Wsh","RB",7.7,0.089
"Jauan Jennings","SF","WR",6.4,0.087
"Jonnu Smith","Pit","TE",2.6,0.085
"Jets D/ST","NYJ","D/ST",0,0.084
"Chig Okonkwo","Ten","TE",1.4,0.082
"RJ Harvey","Den","RB",19.8,0.081
"Joshua Karty","LAR","K",10,0.081
"Marcus Mariota","Wsh","QB",16.24,0.08
"Kareem Hunt","KC","RB",5.7,0.075
"Hollywood Brown","KC","WR",12.8,0.071
"Brenton Strange","Jax","TE",10.5,0.07
"Commanders D/ST","Wsh","D/ST",-1,0.069
"Chris Godwin Jr.","TB","WR",5.6,0.068
"Trevor Lawrence","Jax","QB",11.66,0.065
"Will Reichard","Min","K",8,0.062
"Christian Kirk","Hou","WR",5,0.061
"Chiefs D/ST","KC","D/ST",6,0.06
"Stefon Diggs","NE","WR",16.1,0.059
"Bears D/ST","Chi","D/ST",9,0.057
"Troy Franklin","Den","WR",9.5,0.057
"Wan'Dale Robinson","NYG","WR",4.4,0.057
"Darnell Mooney","Atl","WR",2.5,0.057
"Woody Marks","Hou","RB",27.9,0.055
"Dalton Schultz","Hou","TE",8,0.05
"Tua Tagovailoa","Mia","QB",15.68,0.047
"Rashid Shaheed","NO","WR",9.2,0.047
"Joey Slye","Ten","K",-2,0.046
"Jaguars D/ST","Jax","D/ST",14,0.045
"Elic Ayomanor","Ten","WR",6.4,0.044
