"player_name","team","position","points","start_percent"
"Michael Pittman Jr.","Ind","WR",8,0.16
"J.J. McCarthy","Min","QB",2.82,0.143
"Jonnu Smith","Pit","TE",6.7,0.139
"Quentin Johnston","LAC","WR",15.9,0.128
"Cowboys D/ST","Dal","D/ST",-4,0.125
"Stefon Diggs","NE","WR",7.2,0.124
"Jared Goff","Det","QB",33.96,0.121
"RJ Harvey","Den","RB",3.4,0.12
"Brandon McManus","GB","K",10,0.116
"C.J. Stroud","Hou","QB",14.98,0.114
"Jacory Croskey-Merritt","Wsh","RB",1.7,0.114
"Trevor Lawrence","Jax","QB",19.24,0.113
"Dylan Sampson","Cle","RB",10.9,0.11
"Jordan Mason","Min","RB",5.8,0.11
"Nick Chubb","Hou","RB",15.2,0.107
"Brenton Strange","Jax","TE",4.7,0.104
"Matthew Golden","GB","WR",1.5,0.103
"Jets D/ST","NYJ","D/ST",-3,0.098
"Khalil Shakir","Buf","WR",2.2,0.094
"Harold Fannin Jr.","Cle","TE",9.8,0.09
"Buccaneers D/ST","TB","D/ST",5,0.089
"Jason Myers","Sea","K",8,0.087
"Joshua Karty","LAR","K",9,0.084
"Cooper Kupp","Sea","WR",16,0.082
"Rhamondre Stevenson","NE","RB",21.2,0.077
"Matthew Stafford","LAR","QB",17.32,0.077
"Austin Ekeler","Wsh","RB",4.4,0.076
"Will Reichard","Min","K",8,0.065
"Commanders D/ST","Wsh","D/ST",-1,0.063
"Chiefs D/ST","KC","D/ST",4,0.062
"Giants D/ST","NYG","D/ST",-3,0.062
"Zach Charbonnet","Sea","RB",1,0.06
"Michael Penix Jr.","Atl","QB",5.3,0.054
"Chargers D/ST","LAC","D/ST",14,0.053
"Aaron Rodgers","Pit","QB",10.42,0.052
"Jayden Reed","GB","WR",0,0.052
"Daniel Jones","Ind","QB",22.84,0.05
"Bears D/ST","Chi","D/ST",-11,0.047
"Rashid Shaheed","NO","WR",15.2,0.045
"Cedric Tillman","Cle","WR",10.2,0.041
"Jauan Jennings","SF","WR",19.9,0.036
"Daniel Carlson","LV","K",12,0.033
"Geno Smith","LV","QB",3.2,0.031
"Tua Tagovailoa","Mia","QB",18.6,0.03
"Nick Folk","NYJ","K",6,0.03
"Trey Benson","Ari","RB",8.4,0.028
"Cade Otton","TB","TE",5.5,0.028
"Kayshon Boutte","NE","WR",8.6,0.027
"Spencer Shrader","Ind","K",18,0.025
"Jerome Ford","Cle","RB",10.4,0.025
"JuJu Smith-Schuster","KC","WR",1.5,0.025
"Cam Skattebo","NYG","RB",13.9,0.024
"Dalton Schultz","Hou","TE",5.9,0.023
"Kareem Hunt","KC","RB",4.4,0.022
"Kaleb Johnson","Pit","RB",0.1,0.021
"Chig Okonkwo","Ten","TE",7.5,0.019
"Romeo Doubs","GB","WR",11.8,0.017
"Brian Robinson Jr.","SF","RB",2.9,0.017
"Dolphins D/ST","Mia","D/ST",8,0.016
"Noah Fant","Cin","TE",5.8,0.016
"Darnell Mooney","Atl","WR",4,0.016
"Marvin Mims Jr.","Den","WR",10.4,0.015
"Wan'Dale Robinson","NYG","WR",28.2,0.014
"Quinshon Judkins","Cle","RB",10.1,0.014
"Pat Freiermuth","Pit","TE",6.1,0.014
"Bengals D/ST","Cin","D/ST",2,0.013
"Cam Ward","Ten","QB",9.8,0.012
"Adam Thielen","Min","WR",4.6,0.012
"Rashod Bateman","Bal","WR",3.5,0.012
"Calvin Austin III","Pit","WR",3.2,0.012
"Xavier Legette","Car","WR",0.8,0.012
"Josh Downs","Ind","WR",11.1,0.011
"Jaguars D/ST","Jax","D/ST",7,0.011
"Kenneth Gainwell","Pit","RB",6.6,0.011
"Bryce Young","Car","QB",21.32,0.01
"Rachaad White","TB","RB",14.6,0.01
"Najee Harris","LAC","RB",6.8,0.01
"Chad Ryland","Ari","K",10,0.009
"Saints D/ST","NO","D/ST",5,0.009
"Browns D/ST","Cle","D/ST",2,0.009
"Jake Tonges","SF","TE",7.1,0.008
"DeMario Douglas","NE","WR",1.8,0.008
"Tank Bigsby","Phi","RB",0,0.008
"Russell Wilson","NYG","QB",30.3,0.007
"Falcons D/ST","Atl","D/ST",21,0.007
"Sam Darnold","Sea","QB",15.8,0.007
"Joshua Palmer","Buf","WR",6.7,0.007
"Jayden Higgins","Hou","WR",3.8,0.007
"Mac Jones","SF","QB",21.76,0.006
"DeAndre Hopkins","Bal","WR",14.4,0.006
"Graham Gano","NYG","K",13,0.006
"Eddy Pineiro","SF","K",10,0.006
"Andy Borregales","NE","K",9,0.006
"Ollie Gordon II","Mia","RB",2.3,0.006
"Joey Slye","Ten","K",17,0.005
"Justice Hill","Bal","RB",5.5,0.005
"Raiders D/ST","LV","D/ST",4,0.005
"Blake Grupe","NO","K",2,0.005
"Bhayshul Tuten","Jax","RB",15.4,0.004
"Tyler Allgeier","Atl","RB",15,0.004
"Joe Flacco","Cle","QB",8.76,0.004
"Ryan Fitzgerald","Car","K",4,0.004
"Braelon Allen","NYJ","RB",1.1,0.004
"Elic Ayomanor","Ten","WR",15.6,0.003
