"player_name","team","position","points","start_percent"
"Chiefs D/ST","KC","D/ST",13,0.186
"Jonnu Smith","Pit","TE",5.3,0.182
"Hunter Henry","NE","TE",29,0.167
"Hollywood Brown","KC","WR",8.2,0.159
"Cooper Kupp","Sea","WR",5.1,0.156
"Harold Fannin Jr.","Cle","TE",5.5,0.154
"Michael Pittman Jr.","Ind","WR",19.3,0.151
"Wil Lutz","Den","K",9,0.144
"C.J. Stroud","Hou","QB",10.36,0.137
"Wan'Dale Robinson","NYG","WR",3.6,0.131
"Tyrone Tracy Jr.","NYG","RB",5.6,0.13
"Brandon McManus","GB","K",3,0.129
"Michael Penix Jr.","Atl","QB",3.78,0.127
"Evan McPherson","Cin","K",5,0.126
"Dallas Goedert","Phi","TE",10.3,0.122
"Trevor Lawrence","Jax","QB",7.78,0.12
"Matthew Stafford","LAR","QB",13.84,0.113
"Cam Skattebo","NYG","RB",24.1,0.11
"Russell Wilson","NYG","QB",5.1,0.105
"Commanders D/ST","Wsh","D/ST",10,0.103
"Stefon Diggs","NE","WR",5.3,0.093
"Chargers D/ST","LAC","D/ST",4,0.092
"Colston Loveland","Chi","TE",4.1,0.089
"Khalil Shakir","Buf","WR",14.5,0.084
"Jets D/ST","NYJ","D/ST",9,0.082
"Quinshon Judkins","Cle","RB",16.5,0.08
"Troy Franklin","Den","WR",2.8,0.08
"Jason Myers","Sea","K",17,0.08
"Joshua Karty","LAR","K",15,0.076
"RJ Harvey","Den","RB",4.6,0.075
"Aaron Rodgers","Pit","QB",11.66,0.071
"Marcus Mariota","Wsh","QB",20.28,0.064
"Jake Browning","Cin","QB",5.9,0.063
"Kenneth Gainwell","Min","RB",9.6,0.063
"Romeo Doubs","GB","WR",4.5,0.06
"Matthew Golden","GB","WR",10.1,0.059
"Brenton Strange","Jax","TE",12.1,0.059
"Chig Okonkwo","Ten","TE",11.6,0.058
"Will Reichard","Min","K",15,0.054
"Rashid Shaheed","NO","WR",8.2,0.054
"Kareem Hunt","KC","RB",11.4,0.049
"Giants D/ST","NYG","D/ST",2,0.044
"Tua Tagovailoa","Mia","QB",12.84,0.043
"Jaguars D/ST","Jax","D/ST",13,0.042
"Cowboys D/ST","Dal","D/ST",-2,0.035
"Daniel Carlson","LV","K",4,0.033
"Dalton Schultz","Hou","TE",8.9,0.032
"Rachaad White","TB","RB",2.4,0.03
"Trey Benson","Ari","RB",8.1,0.029
"Parker Romo","Atl","K",-2,0.028
"Geno Smith","LV","QB",26.06,0.028
"Cedric Tillman","Cle","WR",5.6,0.027
"Darnell Mooney","Atl","WR",8.4,0.026
"Nick Folk","NYJ","K",10,0.025
"Cade Otton","TB","TE",0,0.025
"Mac Jones","SF","QB",13.26,0.023
"Joey Slye","Ten","K",9,0.023
"Dylan Sampson","Cle","RB",0.2,0.022
"Sam Darnold","Sea","QB",16.72,0.021
"Jerome Ford","Cle","RB",5,0.021
"Elic Ayomanor","Ten","WR",13.8,0.021
"Bears D/ST","Chi","D/ST",10,0.021
"Tyler Allgeier","Atl","RB",1.4,0.019
"Bryce Young","Car","QB",11.64,0.019
"Bhayshul Tuten","Jax","RB",8.1,0.018
"Pat Freiermuth","Pit","TE",1.6,0.018
"Carson Wentz","Min","QB",15.32,0.018
"Cam Ward","Ten","QB",11.96,0.017
"Brian Robinson Jr.","SF","RB",2.2,0.016
"Rashod Bateman","Bal","WR",17.3,0.015
"Najee Harris","LAC","RB",2.8,0.015
"Ja'Tavion Sanders","CAR","TE",3.1,0.015
"Eddy Pineiro","SF","K",12,0.014
"Kayshon Boutte","NE","WR",4.8,0.014
"Josh Downs","Ind","WR",5.4,0.014
"Jake Tonges","SF","TE",4.1,0.014
"Dolphins D/ST","Mia","D/ST",0,0.012
"Marvin Mims Jr.","Den","WR",1.4,0.012
"DeAndre Hopkins","Bal","WR",2.3,0.011
"Browns D/ST","Cle","D/ST",14,0.009
"Raiders D/ST","LV","D/ST",-3,0.008
"Justice Hill","Bal","RB",7.5,0.008
"Hunter Renfrow","Car","WR",2.6,0.008
"Noah Fant","Cin","TE",5.6,0.008
"Calvin Austin III","Pit","WR",12.4,0.008
"Adam Thielen","Min","WR",0,0.007
"JuJu Smith-Schuster","KC","WR",9.5,0.007
"Dyami Brown","Jax","WR",2.7,0.007
"Graham Gano","NYG","K",3,0.007
"Chad Ryland","Ari","K",6,0.007
"Christian Kirk","Hou","WR",5.5,0.007
"Tank Bigsby","Phi","RB",0,0.006
"Joshua Palmer","Buf","WR",1.5,0.006
"Dontayvion Wicks","GB","WR",4.1,0.006
"Andy Borregales","NE","K",2,0.006
"Tyquan Thornton","KC","WR",18.1,0.005
"Saints D/ST","NO","D/ST",-1,0.005
"Tyrod Taylor","NYJ","QB",16.68,0.005
"Miles Sanders","Dal","RB",8.3,0.005
"Spencer Rattler","NO","QB",11.72,0.005
"Jayden Higgins","Hou","WR",1.5,0.005
"Kyle Monangai","Chi","RB",3,0.005
