"player_name","team","position","proj","points","start_percent"
"Rome Odunze","Chi","WR",12.3,15.7,0.219
"Deebo Samuel","Wsh","WR",11.9,22.6,0.217
"Commanders D/ST","Wsh","D/ST",6.7,8,0.212
"Drake Maye","NE","QB",18,15.78,0.21
"Jerome Ford","Cle","RB",13.9,1.5,0.201
"Jets D/ST","NYJ","D/ST",6.4,5,0.194
"Jake Ferguson","Dal","TE",9,7.3,0.175
"Dalton Kincaid","Buf","TE",8.8,14.8,0.175
"Cooper Kupp","Sea","WR",12.3,3.5,0.168
"Kyle Pitts Sr.","Atl","TE",9.1,12.9,0.165
"Caleb Williams","Chi","QB",15.5,24.2,0.164
"Matthew Golden","GB","WR",12.3,3.6,0.161
"Travis Etienne Jr.","Jax","RB",10.3,18.6,0.157
"49ers D/ST","SF","D/ST",6.3,10,0.156
"Chris Olave","NO","WR",12.4,12.4,0.154
"Evan McPherson","Cin","K",7.9,5,0.144
"Stefon Diggs","NE","WR",12.1,11.7,0.143
"Justin Fields","NYJ","QB",15.5,29.52,0.141
"Javonte Williams","Dal","RB",11.3,20.4,0.132
"C.J. Stroud","Hou","QB",16.5,8.72,0.131
"Buccaneers D/ST","TB","D/ST",5.7,0,0.13
"Jared Goff","Det","QB",15.3,10.9,0.128
"Michael Pittman Jr.","Ind","WR",12,20,0.126
"Trevor Lawrence","Jax","QB",18,10.32,0.117
"Bears D/ST","Chi","D/ST",6.7,13,0.116
"J.K. Dobbins","Den","RB",10.6,14.8,0.116
"Jordan Love","GB","QB",14.9,15.92,0.114
"Matt Prater","Buf","K",8.8,12,0.113
"Chiefs D/ST","KC","D/ST",5.3,2,0.107
"Jason Myers","Sea","K",8.3,8,0.107
"Keon Coleman","Buf","WR",12,25.2,0.104
"Keenan Allen","LAC","WR",11,19.8,0.102
"Giants D/ST","NYG","D/ST",5.2,0,0.098
"Austin Ekeler","Wsh","RB",11.9,8.7,0.098
"J.J. McCarthy","Min","QB",16.3,22.22,0.096
"Joshua Karty","LAR","K",7.9,2,0.093
"Brandon McManus","GB","K",7.9,9,0.093
"Hollywood Brown","KC","WR",12.2,19.9,0.091
"Jacory Croskey-Merritt","Wsh","RB",9.5,14.2,0.087
"Hunter Henry","NE","TE",8.8,10.6,0.084
"Nick Chubb","Hou","RB",9.3,6,0.078
"Zach Ertz","Wsh","TE",8.9,11.6,0.076
"Khalil Shakir","Buf","WR",11.7,12.4,0.072
"Rhamondre Stevenson","NE","RB",11.2,4.7,0.071
"Jauan Jennings","SF","WR",12.5,3.6,0.069
"Younghoe Koo","Atl","K",7.5,8,0.059
"Rams D/ST","LAR","D/ST",5.6,12,0.055
"Will Reichard","Min","K",7.8,9,0.052
"Dolphins D/ST","Mia","D/ST",6.6,-3,0.048
"Jonnu Smith","Pit","TE",7.6,12.5,0.041
"Kaleb Johnson","Pit","RB",5.1,-0.2,0.041
"Cam Skattebo","NYG","RB",5.5,2.9,0.039
"Tua Tagovailoa","Mia","QB",15.4,5.26,0.037
"Brenton Strange","Jax","TE",8.4,9.9,0.037
"Jordan Mason","Min","RB",8,8.5,0.036
"Rashid Shaheed","NO","WR",10.6,9.3,0.033
"Daniel Carlson","LV","K",7.6,10,0.033
"Bengals D/ST","Cin","D/ST",6.1,7,0.032
"Matthew Stafford","LAR","QB",14.9,13.6,0.032
"Zach Charbonnet","Sea","RB",8.6,10.7,0.029
"Nick Folk","NYJ","K",7.8,10,0.029
"Adam Thielen","Min","WR",11.2,2,0.028
"Dylan Sampson","Cle","RB",9.5,17.3,0.028
"Cade Otton","TB","TE",8.8,0,0.027
"Jayden Reed","GB","WR",11.2,13.5,0.026
"Cedric Tillman","Cle","WR",10.7,16.2,0.025
"Michael Penix Jr.","Atl","QB",14.8,24.02,0.024
"Tank Bigsby","Phi","RB",8.6,1.2,0.024
"Jaguars D/ST","Jax","D/ST",6.4,12,0.021
"Cowboys D/ST","Dal","D/ST",3.4,1,0.02
"Josh Downs","Ind","WR",10.7,3.2,0.02
"Jake Moody","SF","K",7.1,3,0.017
"Bryce Young","Car","QB",15.6,8.16,0.017
"Brian Robinson Jr.","SF","RB",4.1,4.7,0.017
"Xavier Legette","Car","WR",9.8,4,0.016
"Chargers D/ST","LAC","D/ST",3.8,2,0.016
"Marvin Mims Jr.","Den","WR",8.8,2.2,0.015
"Rashod Bateman","Bal","WR",9.5,3,0.014
"Daniel Jones","Ind","QB",17.1,29.48,0.014
"Pat Freiermuth","Pit","TE",7.5,5.8,0.013
"Wan'Dale Robinson","NYG","WR",9.7,11.5,0.013
"Cam Ward","Ten","QB",13.7,2.48,0.012
"Jayden Higgins","Hou","WR",9.1,5.2,0.012
"Rachaad White","TB","RB",7.8,2.6,0.012
"Trey Benson","Ari","RB",7.9,8.5,0.012
"Chig Okonkwo","Ten","TE",7.7,4.9,0.012
"Browns D/ST","Cle","D/ST",4.3,7,0.011
"Geno Smith","LV","QB",15,17.48,0.011
"Aaron Rodgers","Pit","QB",13,25.66,0.011
"Najee Harris","LAC","RB",5.4,2,0.011
"Spencer Shrader","Ind","K",8,16,0.01
"Sam Darnold","Sea","QB",15.3,5.4,0.01
"Ollie Gordon II","Mia","RB",7,1.3,0.01
"Romeo Doubs","GB","WR",8.4,8.8,0.009
"Dalton Schultz","Hou","TE",7.6,5.8,0.008
"Russell Wilson","NYG","QB",16,11.12,0.008
"Andy Borregales","NE","K",7.8,7,0.007
"Chad Ryland","Ari","K",7.6,10,0.007
"DeMario Douglas","NE","WR",8.5,8.2,0.006
"Graham Gano","NYG","K",7.4,8,0.006
"Kareem Hunt","KC","RB",5.9,4.6,0.006
"Blake Grupe","NO","K",7.5,6,0.006
"Braelon Allen","NYJ","RB",5,6.9,0.006
"Justice Hill","Bal","RB",6.7,-0.1,0.006
"Raiders D/ST","LV","D/ST",4.3,9,0.005
"Mason Taylor","NYJ","TE",7.1,3,0.005
"Quentin Johnston","LAC","WR",6.4,24.9,0.005
"Tyler Allgeier","Atl","RB",6.1,2.4,0.005
"Joe Flacco","Cle","QB",14.8,12.2,0.005
"Falcons D/ST","Atl","D/ST",3.9,3,0.004
"Ryan Fitzgerald","Car","K",7.5,5,0.004
"DeAndre Hopkins","Bal","WR",6.5,11.5,0.004
"Joshua Palmer","Buf","WR",6.6,11.1,0.004
"Theo Johnson","NYG","TE",7.6,1.5,0.004
"Bhayshul Tuten","Jax","RB",3.6,1.1,0.004
"Mike Gesicki","Cin","TE",6.8,2.4,0.004
"Ray Davis","Buf","RB",4.4,1.1,0.003
"Will Shipley","Phi","RB",3.7,2.6,0.003
"Dont'e Thornton Jr.","LV","WR",7.4,6.5,0.003
