player_name,team,position,type,blank,opp,status,proj,points,oprk,start_percent,pct_rostered,plus_minus,fpts,avg,last
T.J. Hockenson,Min,TE,FA,,@Pit,L 21-24,--,7.9,31st,70.2,93.9,0.3,30.5,7.6,--
Lions D/ST,Det,D/ST,FA,,Cle,W 34-10,--,20,28th,69.5,79.6,23.9,38,9.5,--
Ladd McConkey,LAC,WR,FA,,@NYG,L 18-21,--,2.1,31st,69.4,98.2,-0.7,33.4,8.4,--
Chase Brown,Cin,RB,FA,,@Den,L 3-28,--,10.1,21st,68.8,98.3,-1,37.7,9.4,--
Harrison Butker,KC,K,FA,,Bal,W 37-20,--,12,16th,67.8,74.4,-2.2,41,10.3,--
Packers D/ST,GB,D/ST,FA,,@Dal,T 40-40,--,-5,6th,67.4,84.5,-6.9,21,5.3,--
Chuba Hubbard,Car,RB,FA,,@NE,L 13-42,--,9.9,22nd,67.2,97.4,-0.5,56.1,14,--
Baker Mayfield,TB,QB,FA,,Phi,L 25-31,--,18.86,13th,65.4,97,-0.5,79.06,19.8,--
Tucker Kraft,GB,TE,FA,,@Dal,T 40-40,--,10.6,15th,65,92.2,0.1,50.8,12.7,--
Tyler Loop,Bal,K,FA,,@KC,L 20-37,--,9,14th,64.8,68.8,0.7,41,10.3,--
Justin Herbert,LAC,QB,FA,,@NYG,L 18-21,--,12.52,22nd,64.1,94.7,0.8,73.82,18.5,--
J.K. Dobbins,Den,RB,FA,,Cin,W 28-3,--,11.5,31st,63.7,90.9,4.8,57.1,14.3,--
Courtland Sutton,Den,WR,FA,,Cin,W 28-3,--,19.1,16th,63.1,94,0.5,62.6,15.7,--
Jake Ferguson,Dal,TE,FA,,GB,T 40-40,--,17,27th,63,87.9,5.6,62.3,15.6,--
DK Metcalf,Pit,WR,FA,,Min,W 24-21,--,23.6,1st,62.5,97.6,-0.5,59.1,14.8,--
Quentin Johnston,LAC,WR,FA,,@NYG,L 18-21,--,23.8,31st,60.8,86.8,6.2,79.5,19.9,--
Jakobi Meyers,LV,WR,FA,,Chi,L 24-25,--,7,29th,59.9,90.9,0.3,46.8,11.7,--
