player_name,team,position,type,blank,opp,status,proj,points,oprk,start_percent,pct_rostered,plus_minus,fpts,avg,last
Cameron Dicker,LAC,K,FA,,@LV,Mon 9:00 PM,--,8,11th,92.7,97,-0.7,9,9,--
James Cook,Buf,RB,FA,,@NYJ,W 30-10,--,26.5,17th,92.1,99.5,0,47.7,23.9,--
Steelers D/ST,Pit,D/ST,FA,,Sea,L 17-31,--,4,26th,91.9,97,-2.4,5,2.5,--
Travis Kelce,KC,TE,FA,,Phi,L 17-20,--,10.1,10th,91.6,98.4,0.5,22.8,11.4,--
Joe Burrow,Cin,QB,FA,,Jax,W 31-27,--,7.04,6th,90.4,99.8,0,15.86,7.9,--
Brock Bowers,LV,TE,FA,,LAC,Mon 9:00 PM,--,8.8,22nd,90.3,99.9,0,15.3,15.3,--
Ladd McConkey,LAC,WR,FA,,@LV,Mon 9:00 PM,--,9.8,27th,89.5,99.3,-0.2,13.4,13.4,--
Alvin Kamara,NO,RB,FA,,SF,L 21-26,--,16,10th,88.2,98.8,-0.2,29.7,14.9,--
Jaxon Smith-Njigba,Sea,WR,FA,,@Pit,W 31-17,--,18.3,15th,87.7,99,-0.1,37.7,18.9,--
Chase McLaughlin,TB,K,FA,,@Hou,Mon 6:00 PM,--,1,2nd,87.4,93.4,-4.8,5,5,--
Chuba Hubbard,Car,RB,FA,,@Ari,L 22-27,--,18.7,14th,87.1,98,-0.2,36.6,18.3,--
James Conner,Ari,RB,FA,,Car,W 27-22,--,12.2,21st,87,97.4,-0.2,26.6,13.3,--
Ravens D/ST,Bal,D/ST,FA,,Cle,W 41-17,--,15,18th,86.6,94.7,3.6,8,4,--
Tee Higgins,Cin,WR,FA,,Jax,W 31-27,--,14.6,5th,86.6,99.5,-0.3,20.9,10.5,--
Davante Adams,LAR,WR,FA,,@Ten,W 33-19,--,22.6,18th,86.3,99,-0.3,31.7,15.9,--
Drake London,Atl,WR,FA,,@Min,W 22-6,--,5.9,21st,86.3,99.3,-0.3,19.4,9.7,--
T.J. Hockenson,Min,TE,FA,,Atl,L 6-22,--,2.2,1st,85.8,97.3,-0.5,6.7,3.4,--
Garrett Wilson,NYJ,WR,FA,,Buf,L 10-30,--,9,30th,83.7,98.4,0.2,31.5,15.8,--
Patrick Mahomes,KC,QB,FA,,Phi,L 17-20,--,22.08,5th,83.6,98.5,0,48.1,24.1,--
Omarion Hampton,LAC,RB,FA,,@LV,Mon 9:00 PM,--,3.5,10th,83.6,97.9,-0.4,8.1,8.1,--
Jake Elliott,Phi,K,FA,,@KC,W 20-17,--,12,18th,82.2,88.3,-2,20,10,--
Mike Evans,TB,WR,FA,,@Hou,Mon 6:00 PM,--,10.6,26th,82.1,98.2,-0.4,10.1,10.1,--
DK Metcalf,Pit,WR,FA,,Sea,L 17-31,--,11,4th,80.8,98.4,-0.2,23.3,11.7,--
Marvin Harrison Jr.,Ari,WR,FA,,Car,W 27-22,--,4.7,13th,80.8,97.9,-0.2,22.8,11.4,--
Breece Hall,NYJ,RB,FA,,Buf,L 10-30,--,5.8,31st,80.1,96.6,0.1,22.3,11.2,--
Chris Boswell,Pit,K,FA,,Sea,L 17-31,--,12,3rd,80,84.6,1,27,13.5,--
Vikings D/ST,Min,D/ST,FA,,Atl,L 6-22,--,5,4th,78.8,88,-6.8,9,4.5,--
Zay Flowers,Bal,WR,FA,,Cle,W 41-17,--,14.9,1st,78.2,97.2,0.3,43,21.5,--
Tyreek Hill,Mia,WR,FA,,NE,L 27-33,--,16.9,29th,78,99,-0.4,24.9,12.5,--
Harrison Butker,KC,K,FA,,Phi,L 17-20,--,6,24th,74.5,80.5,-0.9,17,8.5,--
Terry McLaurin,Wsh,WR,FA,,@GB,L 18-27,--,9.8,12th,74.4,98.6,-0.5,14.5,7.3,--
Baker Mayfield,TB,QB,FA,,@Hou,Mon 6:00 PM,--,19.9,14th,74,97.1,-0.5,22.58,22.6,--
David Njoku,Cle,TE,FA,,@Bal,L 17-41,--,8,30th,72,93.4,-1.9,14.7,7.4,--
Texans D/ST,Hou,D/ST,FA,,TB,Mon 6:00 PM,--,5,13th,70.9,86.8,-8.2,8,8,--
Tyler Warren,Ind,TE,FA,,Den,W 29-28,--,11.9,11th,69.7,93.2,4.1,26.8,13.4,--
Kyler Murray,Ari,QB,FA,,Car,W 27-22,--,14,9th,63.3,91.5,-0.6,32.32,16.2,--
Rams D/ST,LAR,D/ST,FA,,@Ten,W 33-19,--,9,32nd,61.6,64.9,57.7,21,10.5,--
D'Andre Swift,Chi,RB,FA,,@Det,L 21-52,--,13.9,9th,61.4,94.8,-1,23.4,11.7,--
Courtland Sutton,Den,WR,FA,,@Ind,L 28-29,--,1.6,10th,61.2,94.8,-0.6,19.7,9.9,--
Mark Andrews,Bal,TE,FA,,Cle,W 41-17,--,1.4,23rd,60.7,91.9,-3.4,2.9,1.5,--
Emeka Egbuka,TB,WR,FA,,@Hou,Mon 6:00 PM,--,12.9,26th,60.6,92.4,2.3,23.6,23.6,--
TreVeyon Henderson,NE,RB,FA,,@Mia,W 33-27,--,6,13th,58.9,95.8,-1,17.1,8.6,--
Tyler Loop,Bal,K,FA,,Cle,W 41-17,--,12,6th,58.3,62.3,5.4,25,12.5,--
Lions D/ST,Det,D/ST,FA,,Chi,W 52-21,--,8,14th,57.9,70.5,-11.5,10,5,--
Seahawks D/ST,Sea,D/ST,FA,,@Pit,W 31-17,--,16,16th,57.5,68.6,-8.1,23,11.5,--
DJ Moore,Chi,WR,FA,,@Det,L 21-52,--,9.6,20th,54.6,95.1,-1.1,18.2,9.1,--
Cam Little,Jax,K,FA,,@Cin,L 27-31,--,10,5th,54,58.3,3.8,25,12.5,--
Bills D/ST,Buf,D/ST,FA,,@NYJ,W 30-10,--,12,6th,53.9,65.1,12.7,10,5,--
David Montgomery,Det,RB,FA,,Chi,W 52-21,--,13.1,23rd,52.4,94.4,-0.8,21.4,10.7,--
Eagles D/ST,Phi,D/ST,FA,,@KC,W 20-17,--,7,9th,51.2,70.1,-14.4,9,4.5,--
