player_name,team,position,type,blank,opp,status,proj,points,oprk,start_percent,pct_rostered,plus_minus,fpts,avg,last
Chase McLaughlin,TB,K,FA,,NYJ,W 29-27,--,20,30th,75.4,81.6,-11.8,26,8.7,--
James Conner,Ari,RB,FA,,@SF,L 15-16,--,6.7,11th,73.3,97,-0.5,33.3,11.1,--
Tyler Warren,Ind,TE,FA,,@Ten,W 41-20,--,6.8,20th,72.1,93.9,0.7,33.6,11.2,--
Steelers D/ST,Pit,D/ST,FA,,@NE,W 21-14,--,15,24th,71.8,84.8,-12.3,20,6.7,--
Harrison Butker,KC,K,FA,,@NYG,W 22-9,--,12,29th,70.3,76.6,-3.9,29,9.7,--
Javonte Williams,Dal,RB,FA,,@Chi,L 14-31,--,12.2,29th,69.9,92.9,4.7,57.6,19.2,--
T.J. Hockenson,Min,TE,FA,,Cin,W 48-10,--,15.9,21st,66.6,93.6,-3.7,22.6,7.5,--
Rome Odunze,Chi,WR,FA,,Dal,W 31-14,--,15.2,30th,65.5,93.4,3.6,62.7,20.9,--
Tee Higgins,Cin,WR,FA,,@Min,L 10-48,--,2.5,3rd,65.4,98.9,-0.6,23.4,7.8,--
Tyler Loop,Bal,K,FA,,Det,L 30-38,--,7,6th,64.4,68.2,5.9,32,10.7,--
Texans D/ST,Hou,D/ST,FA,,@Jax,L 10-17,--,7,7th,64.2,79.5,-7.4,20,6.7,--
Marvin Harrison Jr.,Ari,WR,FA,,@SF,L 15-16,--,7.4,14th,62.2,97.2,-0.7,30.2,10.1,--
D'Andre Swift,Chi,RB,FA,,Dal,W 31-14,--,10.8,20th,61.5,94.5,-0.3,34.2,11.4,--
Jaylen Warren,Pit,RB,FA,,@NE,W 21-14,--,13.1,18th,61.3,91.2,2.1,44.4,14.8,--
Broncos D/ST,Den,D/ST,FA,,@LAC,L 20-23,--,8,11th,61.2,86.9,-12.1,19,6.3,--
Tucker Kraft,GB,TE,FA,,@Cle,L 10-13,--,5.9,8th,60.8,92.1,6.6,40.2,13.4,--
Terry McLaurin,Wsh,WR,FA,,LV,W 41-24,--,10.4,29th,60.5,97.7,-0.9,24.9,8.3,--
Juwan Johnson,NO,TE,FA,,@Sea,L 13-44,--,11.1,32nd,57.7,79,30.9,42.6,14.2,--
Justin Herbert,LAC,QB,FA,,Den,W 23-20,--,14.6,4th,57.4,93.9,2.8,61.3,20.4,--
Bills D/ST,Buf,D/ST,FA,,Mia,W 31-21,--,4,31st,57.4,67.3,2.3,14,4.7,--
David Njoku,Cle,TE,FA,,GB,W 13-10,--,9,28th,55.3,88.6,-4.8,23.7,7.9,--
Kyler Murray,Ari,QB,FA,,@SF,L 15-16,--,14.06,7th,54.6,89.8,-1.7,46.38,15.5,--
Daniel Jones,Ind,QB,FA,,@Ten,W 41-20,--,15.82,2nd,54.2,79.1,57.9,68.14,22.7,--
Omarion Hampton,LAC,RB,FA,,Den,W 23-20,--,24.9,13th,54,96.4,-1.4,36.5,12.2,--
Tetairoa McMillan,Car,WR,FA,,Atl,W 30-0,--,7.8,13th,53.5,93.3,-0.1,35.6,11.9,--
Ravens D/ST,Bal,D/ST,FA,,Det,L 30-38,--,-6,4th,53.3,83,-11.7,2,0.7,--
Jakobi Meyers,LV,WR,FA,,@Wsh,L 24-41,--,9.3,6th,53.1,90.6,0.4,39.8,13.3,--
Cam Little,Jax,K,FA,,Hou,W 17-10,--,4,1st,52.6,57.1,-1.3,29,9.7,--
Matt Prater,Buf,K,FA,,Mia,W 31-21,--,7,27th,52.4,54,19.1,33,11,--
Tony Pollard,Ten,RB,FA,,Ind,L 20-41,--,13.9,16th,52.3,91.5,-0.6,31,10.3,--
David Montgomery,Det,RB,FA,,@Bal,W 38-30,--,29.4,28th,51.9,94.1,-0.4,50.8,16.9,--
Dak Prescott,Dal,QB,FA,,@Chi,L 14-31,--,12.04,32nd,51.8,86.4,6.8,42,14,--
Falcons D/ST,Atl,D/ST,FA,,@Car,L 0-30,--,5,29th,51.3,53.8,52.7,29,9.7,--
Jordan Mason,Min,RB,FA,,Cin,W 48-10,--,23.6,31st,50.7,84.7,8.5,37.9,12.6,--
Jake Ferguson,Dal,TE,FA,,@Chi,L 14-31,--,21.2,19th,50.5,82.4,14.7,45.3,15.1,--
Buccaneers D/ST,TB,D/ST,FA,,NYJ,W 29-27,--,16,20th,49.4,53.3,38.7,21,7,--
Deebo Samuel,Wsh,WR,FA,,LV,W 41-24,--,4.9,29th,49.3,90,1.2,44.9,15,--
DJ Moore,Chi,WR,FA,,Dal,W 31-14,--,12.8,30th,48.4,93.7,-1.4,31,10.3,--
Travis Etienne Jr.,Jax,RB,FA,,Hou,W 17-10,--,11.6,25th,48.2,88.6,1.7,47.1,15.7,--
Bo Nix,Den,QB,FA,,@LAC,L 20-23,--,13.42,9th,47.9,89.4,-1.5,40.5,13.5,--
Eagles D/ST,Phi,D/ST,FA,,LAR,W 33-26,--,12,14th,46.4,64.1,-6,21,7,--
